equipo_es,equipo_en,tiene_jugador_top
Francia,France,1
España,Spain,1
Argentina,Argentina,1
Inglaterra,England,1
Portugal,Portugal,1
Brasil,Brazil,1
Países Bajos,Netherlands,1
Marruecos,Marruecos,0
Bélgica,Bélgica,0
Alemania,Germany,1
Croacia,Croacia,0
Colombia,Colombia,0
Senegal,Senegal,0
México,México,0
EE. UU.,EE. UU.,0
Uruguay,Uruguay,0
Japón,Japón,0
Suiza,Suiza,0
Irán,Irán,0
Turquía,Turquía,0
Ecuador,Ecuador,0
Austria,Austria,0
Corea del Sur,Corea del Sur,0
Australia,Australia,0
Argelia,Argelia,0
Egipto,Egipto,0
Canadá,Canadá,0
Noruega,Noruega,0
Panamá,Panamá,0
Costa de Marfil,Costa de Marfil,0
Suecia,Suecia,0
Paraguay,Paraguay,0
República Checa,República Checa,0
Escocia,Escocia,0
Túnez,Túnez,0
RD Congo,RD Congo,0
Uzbekistán,Uzbekistán,0
Catar,Catar,0
Irak,Irak,0
Sudáfrica,Sudáfrica,0
Arabia Saudita,Arabia Saudita,0
Jordania,Jordania,0
Bosnia y Herzegovina,Bosnia y Herzegovina,0
Cabo Verde,Cabo Verde,0
Ghana,Ghana,0
Curazao,Curazao,0
Haití,Haití,0
Nueva Zelanda,Nueva Zelanda,0
